content,rating
"Nie mam pojęcia skąd się wzieła taka wysoka ocena tego filmu, racja jest niezły, ale wzruszający to on nie jest...",5
"Nauczył mnie, że kara śmierci jest zła, chyba że egzekwowana przez wspaniałego murzyna-uzdrowiciela na dupkowatym strażniku więziennym i gwałcicielu. Też nie zawsze, bo jak gwałciciel lubi bawić się myszką, to już na taką karę nie zasługuje. Naprawdę ponadczasowe i mądre przesłanie.",3
"Przepraszam za swoją ciemnotę, ale nie rozumiem tego filmu. Jak dla mnie to jest taka bajka ze smutnym zakończeniem. Pomóżcie mi zrozumieć przesłanie tego filmu, to go ocenie, bo na razie nie dostałby zbyt wysokiej noty :)",4
"Z każdym kolejnym razem, ten film wydaje mi się lepszy. Oglądam go średnio co 2 lata i za każdym razem ktoś mi kroi cebulę przed nosem. Według mnie była to rola życia Duncana, zagrał po mistrzowsku.",9
"Mamy tutaj do czynienia z typowym amerykańskim wylewaczem łez. Film jest przeciętny i nic poza tym, zawsze gdy atakuję go w obecności znajomych zadają mi pytanie ""czy płakałem"". Otóż nie, wzruszyłem się, to prawda, ale czy to od razu powód aby wystawiać mu dychę? Nie sądzę. Moje wzruszenie zostało kupione tanimi chwytami z którymi miałem już styczność wielokrotnie, Wszystko jest niesamowicie ...",4
lecz jeśli znasz kogoś kto oglądał ten film i nie płakał to WIEDZ że coś się dzieje.,10
"że gdyby nie płonąca scena egzekucji,mógłby robić zamiast""Domku na prerii""dla mało rozgarniętej dziatwy ze szkółki niedzielnej.Nieprawdziwe postacie,strażnicy o gołębich sercach skumplowani ze skazancami,a samo wiezienie-jak senatorium.Goscie mają Coffeya,objawienie,-nie wiem-tak jakby sam Jezus,albo jakiś kosmita zszedł na Ziemię-a oni ...",5
Dopiero po przeczytaniu książki i obejrzeniu filmu poraz drugi zauważyłem że temu filmowi należy się zdecydowane 10.Genialny.Role Toma Hanksa i Michaela Clarka Duncana idealne.,10
Na pogrzebie własnego syna nie płakałem tak jak na tym filmie,9
"Jeden z najlepszych filmów jakie widziałem. Genialny w każdym calu, historia przedstawiona jak trzeba, rewelacyjna gra aktorska, świetna fabuła, doskonałe przesłanie, odpowiedni klimat oraz muzyka. Jest to jeden z filmów który można oglądać kilka razy i po latach przypuszczam również będzie zdawał egzamin. 10/10.",10
"Zaczęło się pewnie od jakiegoś nawiedzinego gościa w serwisie FilWebu... podkręcił sztucznie pierwsze 100 tys głosów – i cieszył się widząc jak ludzie oglądają to co im polecił. Potem mógł nawet odjąć te extra głosy – jak się maszynka zaczęła kręcić – to działa już jak perpetum mobile... Ja, w każdym razie, dałem się złapać. Po przeczytaniu opisu filmu ...",4
"Zacznijmy od tego, że King to grafoman, choć nie aż tak wielki jak np. banalista Coelho. O samym filmie wszystko już powiedział pewien Ichabod (on naprawdę ma rację, co może trudno dostrzec przez tę przytłaczającą charyzmę), więc zapraszam do obejrzenia mini-recki: http://www.youtube.com/watch?v =HQ01tuxOwPk Dobre filmy to robili Kurosawa, P. T. Anderson, Bergman... Darabont, Spielberg, Cameron, Nolan, ...",3
"Zacznę w sposób kurtularny, gdyż nie chcę byście donosili i konfidentowali na mnie :). Uważam, że ten film to jest porażka kinematografii, TAKIEgo tragicznego filmu ze świecą szukac w czeluściach Charona. Argumenty : 1. Zacznijmy od głównego bohatera. Ten duży murzyn jest za duży, stanowczo za duży. Nie ma takiego wielkiego człowieka na świecie i nigdy nie było, moim zdaniem dawanie tego do ...",5
"Jeden z bardziej infantylnych filmów w ogóle. Co ten King napaćkał i Darabont nawywijał? Mamy tu Murzyna potrafiącego leczyć, a raczej przejmować na siebie choroby, po czym one ulatują z niego w postaci owadów wylatujących z jego ust. Co więcej on potrafi też przenosić chorobę na inną osobę, co robi złemu strażnikowi. To wygląda po prostu źle i jest głupie.",5
"Prosty. Przewidywalny. Po obejrzeniu miałem wrażenie, że przewidziałem gdzieś połowę tego filmu. Nie ma tu duszy, gniewu, chwili refleksji, odprężyć się przy tym też nie da. Jedyne plusy jakie z tego wyciągnąłem to seria żartów, które o tym filmie czasem opowiadam. Co prawda film widza bezkrytycznego pochłonie bez reszty. Co kto lubi i sprawia, że czuje się lepiej i ...",3
"ponieważ nie wzruszyłem się w trakcie oglądania tego filmu. Nie uważam, że jest zły, ale nie jest też arcydziełem. Poza grą aktorską nie ma w nim nic wybitnego. Płaczliwość Johna momentami irytująca.",7
"Po rewelacyjnych,wręcz genialnych ""Skazanych na Shawshank"" dostałem mało strawna,niemiłosiernie długą bajkę o myszce,dobrym strażniku i olbrzymie o wielkim sercu i zdolnościach nadprzyrodzonych. Wiem,to King,ale jednak. Taka obsada,taki reżyser i taki budżet zasługiwał naprawdę na coś lepszego,choć w połowie tak dobrego jak wcześniejsze więzienne arcydzieło z Robbinsem i Freemanem.",5
"fabula oparta na prostych patentach, przerysowane jedno wymiarowe postacie, widz prowadzony za rączkę, zero morału, nawet bohaterowie niczego się nie nauczyli, a co dopiero widz. wszystko zawinięte w bardzo ładny papierek, który woła ze sklepowej witryny ""kup mnie kup mnie"" i widz kupuje. strasznie przereklamowany.",5
No nie mogę awansował na 3 miejsce a ojciec chrzestny spadł na 4.,3
"Wymusza na tobie płacz, operuje kiczem i na dokładkę serwuje proste motywy (biedny czarnoskóry). Nie pojmuję waszego zdania. Telewizja zabrała ludziom gust filmowy.",3
"Nie mam pojęcia skąd się wzieła taka wysoka ocena tego filmu, racja jest niezły, ale wzruszający to on nie jest...",5
"Nauczył mnie, że kara śmierci jest zła, chyba że egzekwowana przez wspaniałego murzyna- uzdrowiciela na dupkowatym strażniku więziennym i gwałcicielu. Też nie zawsze, bo jak gwałciciel lubi bawić się myszką, to już na taką karę nie zasługuje. Naprawdę ponadczasowe i mądre przesłanie.",3
"Przepraszam za swoją ciemnotę, ale nie rozumiem tego filmu. Jak dla mnie to jest taka bajka ze smutnym zakończeniem. Pomóżcie mi zrozumieć przesłanie tego filmu, to go ocenie, bo na razie nie dostałby zbyt wysokiej noty :)",4
"""Zielona mila"" to film, ktory korzysta dosłownie z wszystkich technik manipulacji jednostka i nawet tego nie ukrywa. Wszystko macie wyłożone na tacy,wszystkie zabiegi, ktore służą wylacznie do ruszenia emocji widzów. Bez ckliwosci ten film nie istnieje, bo ona jest fundamentem tego filmu! Ktos powie, ze lubi ckliwość w filmach, ze lubi byc ...",3
"Całkiem spoko. Taki film na raz. Raz zobaczyłem,podoba się. Na pewno drugi raz nie zobaczę.",3
Bardzo dobry film... nie wiem jakim trzeba być silnym zeby cie ten film nie ruszył nawet w najmniejszym stopniu... zasługuje na swój ranking...,4
"Oglądałem to już wcześniej, jakieś 10 lat temu, z tego co pmiętam, wymiękłem gdzieś w środku. Tak jak i wtedy, tak i tym razem podszedłem z nadziejami na dobry film. Po godzinie wyłączyłem. Po miesiącu przypomniałem sobie o tym filmie i postanowiłem kontynuować. Przetrwałem następną godzinę ...",1
"Jednakże nie wiem, jak się na tym portalu zmienia oceny, dlatego zostaje ocena 1 :(",1
"Niech jakiś fan tego filmu który wystawił 10 albo 9, wytłumaczy mi, co takiego genialnego i przełomowego jest w tym filmie że trzyma średnią 8,7 przy 600000 głosach? Dla mnie był to co najwyżej poprawny, niesamowicie odtwórczy, sztampowy i nudny film. Ale może czegoś nie widzę?",5
"Nie wiem, czy ktoś już poruszył tę kwestię, ale czy ktoś moze mi wyjaśnić, dlaczego straznicy nie zrobili kompletnie nic, aby uwolnić Johna, skoro Paul miał kilka przeciwko Dzikiemu Billowi?",8
"obejżałem i nie podobał mi się, nudny, typowy amerykański dramat, a spodziewałem się 'cuda na kijku'",3
"Już na samym początku filmu zastanawiałem się dlaczego ten dom starców jest na takim odludziu. Potem zrozumiałem, że ci nieszczęśni, źle rokujący pacjenci szpitala psychiatrycznego zostali tam przeniesieni pod koniec swojego życia, by w spokoju, nie przeszkadzając innym dopełnić swoich dni. Tak, szpitala psychiatrycznego, bo niestety, ale większość postaci z tego filmu to ...",3
"dla których ZM jest arcydziełem. Film trwa bardzo długo, nieszczególnie trzyma w napięciu w ciągu tych 3h. Historia skazańca staje się coraz bardziej udziwniona zamiast coraz bardziej dramatyczna - czarodziejskie sztuczki i uzdrawianie chorej cewy Hanksa nie pomagają dramaturgi w żaden sposób.Nie mówię że film to totalna szmira - po prostu dłużyzny, dzikie spojrzenia i pomarszczone czoła w ...",5
"Ta bajeczka jest w rankingu przed ""Milczeniem owiec""?",6
"piękny, przejmujący, metaforyczny. tylko osoby bez krzty wyobraźni pozwalają sobie na jego krytykę. szanuję zdanie innych, ale ten film zasługuje na owacje na stojąco. i nikt mi nie wmówi, że jest inaczej.",6
"Czy ci którzy nie płakali podczas seansu i nie wzruszyła ich ta historia to psychopaci? Film jest banalny, ckliwy, a cały ten wątek z Murzynem wydaje mi się absurdalny.",4
"Dlaczego tak wysoko oceniana jest ta przeciętna produkcja - nie wiem. nie dostrzegam żadnych nadzwyczajnych walorów, ani w warstwie scenariusza, gry aktorskiej czy też rzemieślniczej bardzo reżyserii. Porwał chyba sentymentem - wyciskacz łez",5
"Niestety ta wyjatkowo schematyczna opowieść zniechęca swoją długością. Osobiście po tych 3 z kawalkie godzinach myslalem ze dostalem odcisków na tyłku... Poza tym rozczarowuje prostota ukazania postaci. Wszyscy sa sympatyczni do wyrzygania, wiec jedyny zły wiezien zyskuje w oczach przez to za nie jest tak slodki i sympatyczny. Odnosi sie wrazenie ze cele smioerci wypelniaja sympatyczne niedojdy ...",5
"ten gość w każdym filmie gra tą samą osobę... raz jest to Tom na bezludnej wyspie, kiedy indziej pisze romantyczne maile, Tom z AIDS, Tom w kosmosie, Tom biegnie gdzieś bez opamiętania... te same miny, gesty, każda ""postać"" budzi te same uczucia - jakieś pomieszanie sympatii ze współczuciem (które wynika chyba z jednej z jego najczęściej występującej miny: jestem bardzo wzruszony - łzy cisną mi sie do ...",6
Od smierci dzieli Duncana zielony kawalek podlogi przyszla mi na mysl taka refleksja ze to chyba tak jak nas jest pewna linia ktora nas dzieli od smierci,10
"Emerytowany strażnik więzienny Paul przed laty zajmował się odprowadzeniem skazańców do celi śmierci. Tak poznał czarnoskórego Johna, oskarżonego o zabicie dwóch białych dziewczynek.Paul nie uwieżył w winę łagodnego olbrzyma, obdarzonego mocą uzdrowiciela. zaczął starać się o ułaskawienie Johna.polecam!",4
"Przeraźliwie długi, mocno klasyczny, pełen klisz i stereotypów, nieznośnie sentymentalny, ale za to niezwykle absorbujący i budzący potężne emocje obraz. Warto!",8
"za scenariusz adaptowany ? Pomijajac role swietnych aktorow, to jest najlepsza adaptacja jaka widzialam. Zaczytuje sie w powiesci i na zmiane ogladam film. Nie jestem w stanie zrozumiec dlaczego akademia nie uhonorowala Duncana (chociaz Huntichston tez byl swietny w roli Percy'ego a nie dostal nawet nominacji), ale za to zlekcewazenie takiej adaptacji to naprawde komus powinno ...",9
"..dopiero dziś sie zebrałem i obejrzałem teraz rozumiem zachwyt nad tym arcydziełem i rozumiem też dlaczego tak wiele osób na nim płakało ja miałem to samo żaden film nie wzruszył jak ""Zielona Mila"" ,końcówka wyciska łzy z każdego człowieka,który posiada serce zamiast kamienia..chociaż film trwa 3h to i tak każda minuta tego dzieła to skarb! z czystym sumieniem mogę dać 10/10",10
"Zielona mila oczywiście to żaden gniot, jest to niezły film i tylko niezły film ale kurde to nie jest żadne arcydzieło, średnia ocen na filmwebie jest naprawdę chora na ten moment aż 8,6. Widać po tym że większość polaków jest mało wymagająca. Zielona mila to  historyjka z elementami fantasy jakich wiele ,  niczym się nie wyróznia , kiczowato pokazane moce Coffeya że coś się świeci jak uzdrawia  a ...",6
Czy tylko ja nie nienawidzę tego jak że szkodliwego filmu?,6
"Film bardzo dobrze się ogląda. Nawet kolejny raz. Jednak mimo to, nie jestem zwolennikiem zachwytu nad tą produkcją. Jest dobry, ale na pewno odległy od moich wszech-topów ;)",7
"Znacie moze dramaty podobne i tak bardzo wzruszajace jak  ''Zielona Mila'' ??? Chodzi mi o najlepsze Waszym zdaniem, te przy ktorych wymieka nawet najwiekszy twardziel :D",10
"Oczywiście zostanę źle potraktowany przez fanów, ludzie wezmą mnie za pustego gimbusa wielbiącego Transformersy itd. ale według mnie ten film to jeden pusty szantaż emocjonalny, który traktuje widza jak skończonego idiotę. Mam wrażenie, że większość ludzi ocenia ten film wysoko na podstawie tego, że go wzruszył. Problem w tym, że Zielona mila wzrusza ...",1
"niby wzrusza ale to nie jest jakies znakomite kino :) przynajmniej moim zdaniem.. film do obejrzenia na raz, nic specjalnego.. nie rozumiem fenomenu :) Hanks tez jakis nijaki",7
"Jednak nie oddaje tego samego co książka. Skazani na ,,Shawshank'' był zdecydowanie lepszy.",8
"Gdyby ""Zielona Mila"" była obiadem, to zapewne podawanym w cesarskich restauracjach.",8
"zielona mila to film amerykański, bardzo amerykański. w niewielu przypadkach jest to plusem filmu, tu jest. w żadnym innym kraju podobny obraz powstać by nie mógł... amerykańskość dodaje temu filmowi mocy, siły przebicia... (chyba pierwszy raz chwalę na filmwebie coś amerykańskiego, ale nie bójcie się, nic nie jest idealne, zaraz będę wytykał błędy... ;-P)zacznijmy od tego, że lubię filmy ...",9
"Dla mnie to arcydzieło. Świetna obsada aktorska, rewelacyjny klimat pełen napięcia. Duncan - majstersztyk!",9
"Ocenił bym na 10 gdyby nie te absurdalne sceny z cudami. Scena ze skazańcem smażącym się na krześle elektrycznym też beznadziejna. Dlaczego żaden ze strażników więziennych nie wpadł na pomysł aby skrócić jego cierpienie strzałem z broni służbowej, tylko czekali aż się wykończy?",9
"Świetny film, dający do myślenia no i ta obsada... Po prostu genialny",9
Nie ryczałam tak od odcinka 'Doomsday' serialu Doktor Who... Przepiękne arcydzieło. Niech każdy obejrzy. 10/10,10
Witam chodzi mi o tą piosenke która leci podczas oglądania filmu w więziennym kinie przez John'a Coffey'a- Heaven I'm in heaven.Byłbym bardzo wdzięczny- moja babcia przypomniala sobie lata młodości gdy ogladala ten film:D,10
"Bez wątpienia ""Zielona Mila"" jest obrazem wielkim, artystycznym, zmuszającym do refleksji i zastanowienia się nad swoim życiem. Na tym pięknym obrazie są też niestety pewne skazy - film momentami jest sztucznie ""przegadany"", niektóre sceny na siłę ""przedłużane"", i o ile lubuję się w filmach psychologicznych gdzie większy nacisk kładzie się na indywidualny odbiór przez widza, tak tutaj momentami byłem ...",8
"Wzruszający, smutny, melancholijny, poważny, skłaniający do reflekcji. Mam nadzieję że będzie więcej takich filmów.",8
"Melancholijny, poważny i bardzo smutny. Skłaniający do refleksji.",8
"Melancholijny, poważny i bardzo smutny. Skłaniający do refleksji.",8
"Film jest genialny, stwierdzam to po latach, swietnie zagrana rola Duncana, ktory powinien dostac oscara za swoja role. Film mnie poruszyl  a lzy lecialy. Powinien byc na pierwszym miejscu listy najlepszych filmow na filmwebie.",10
"film wstrząsnął mną tak bardzo, że płaczę i nie mogę się uspokoić. ciągle trzymał w napięciu, każdy powinien go obejrzeć..",10
"Ojjj zakochałam się w filmie <3nooo mogę go oglądać mnóstwo razy i zawsze się popłakać, mooże zdjęcia i niektóre rzeczy są niedociąknięte, ale sam film daje wspaniałą atmosfere, alee dzięki oczywiście świetnemu scenariuszowi ,którym była książka S.Kinga.Tom Hanks znowu świetnie zagrał, noo ale nie tylko on. Jestem zadowolona z filmu :)",10
Ile trwa ten film ?Oglądałem ten film dawno temu i miałem wersje która trwała 2h47m a dopiero teraz zobaczyłem że film trwa ponad 3h i troszkę się zdziwiłem i stąd moje pytanie czy ta krótsza wersja jest OK ? Czy jest może coś ucięte ?,8
ale jestem ciekaw kto z obecnych na webie widział pierwowzór? Mała podpowiedź:Patrick Swayze,10
Wiele razy ogladalam ten film i zawsze wzrusza tak samo.,9
"Witam. Czytałem zarówno książkę, jak i oglądałem film. Jestem ciekawy jakie są wasze spostrzeżenia na temat Pana Dzwoneczka. Co King chciał nam powiedzieć poprzez tą mysz? W końcu w książce poświęcił jej naprawdę dużo miejsca.",10
"Żeby stworzyc niebagatelne, angażujące widza i wzruszające kino. Piekny film.",10
"Mimo tych 3 godzin oglada sie znakomicie. Polecam wszystkim, i choc nie jest tak dobry jak glosi legenda to nadal jest to obowiazkowa lektura dla kazdego kinomana i nie tylko",8
zawsze się go dobrze ogląda. Jeden z moich ulubionych,10
"Mam pytanie. Na końcu filmu pojawia się informacja, że film jest pamięci Allena Greena. Kto to był?",10
"Genialny film ze świetnymi rolami Morgana Freemana, Tima Robbinsona i Jamesa Whitmora. Do teraz nie mogę uwierzyć, że Oscara dostał ,,Forrest Gump''.",9
"Niedawno po raz kolejny sięgnęłam po ten film i znów boli mnie to, że nie został on odpowiednio doceniony. Miał wiele nominacji do prestiżowych nagród i żadnej prawie nie dostał. Nie wspominając już o Oskarach.",9
"Film jest świetny w każdym calu to nie podlega dyskusji. Jednak jego reżyser Frank Darabount który jest także twórcą filmu ""Zielona Mila"" jest według mnie najbardziej niedocenionym artysta XX wieku przecież to jest geniusz. Tworzy filmy z taką pasją i zaangażowaniem że hollywodzcy reżyserzy mogliby pobierać u niego korepetycje. Bo nie jest ...",10
Oglądałem tysiące filmów.Ale ten film żadnego nie pobije!!Rewelacja,10
"""Skazanym na Shawshank"" należy niewątpliwie oddać, że momentami są wręcz przykładem tego jak należy kręcić filmy. Pokrzepiająca, klasyczna historia, pochwała wytrwałości, przyjaźni i hartu ducha ze wspaniałym, przemyślanym scenariuszem i wybitną kreacją Morgena Freemana ma jednak smak słodko-słodki, jest filmem skrajnie pozytywnym, przez co nie wywołuje większych emocji i ciężko mi go kupić w stu ...",8
"Zachęcona bardzo pozytywnymi opiniami ,wczoraj po raz pierwszy obejrzałam ""Skazani na Shawshank"". Wiele osób mi mówiło, że to najlepszy film jaki kiedykolwiek powstał. Obejrzałam go i ..... nie rozumiem tego.Film jest wciągający, ma wspaniały klimat i muzykę, która oddziaływuje na uczucia. Fabuła ciekawie się rozwija, a koniec jest dla mnie zaskakujący, ale dlaczego ""Skazani...."" często jest ...",7
"Oglądam wiele filmów, jedne są gorsze, inne lepsze. Czasami trafi się jakaś bardzo dobra perełka - takich obejrzałem może z szesnaście w całym moim czterdziestoletnim życiu... Jednakże drugiego arcydzieła takiego jak ""Skazani na Shawshank"" już chyba nie dożyję, więc daję mu ocenę 10, jako jedyną w historii moich ocen na FW.",10
To chyba najlepszy film jaki widziałam w życiu. Jak dla mnie arcydzieło!! Polecam wszystkim lubiącym niebanalne filmy...,10
"Mam z tym filmem taki ""problem"", że kiedy tylko jest nadawany, to zawsze go oglądam. Jest jeszcze jeden taki film, ""Siedem dusz"".",10
"To jeden z moich ulubionych filmów, myślę, że w osobistym rankingu mógłbym go uplasować na 2 miejscu zaraz po ""Terminatorze 2"", choć te filmy zdecydowanie się od siebie różnią. Po raz pierwszy oglądałem go będąc jeszcze w szkole podstawowej i zrobił wtedy na mnie ogromne wrażenie. Opowiadanie Stephena Kinga przeczytałem dopiero po kilkukrotnym obejrzeniu filmu i uważam, że ""Skazani..."" to jedna z ...",10
"...w każdym razie na mojej liście raczej nie wygrał. Nie zrozumcie mnie źle, to z pewnością jeden z najlepszych filmów jakie w życiu widziałem, ale jednak wolę taką np. ""Zieloną Milę"" swoją drogą tego samego reżysera. Oba filmy należy obejrzeć, polecam!!!!",9
Miną miesiąc od kiedy obejrzałam Skazanych. A obejrzałam go już 11 razy. Cdziennie sprawdzam ciekawostki o filmie i o aktorach.Kupię dwa plakaty do pokoju i książkę.A gdy będę starsza i nazbieram pieniędzy planuje pojechać do tego więzienia gdzie kręcono film.Mój przyjaciel mówi że gadam tylko o filmie.,10
"...co może zrobić z człowiekiem takie przymusowe, więzienne,oderwanie od rzeczywistości... nie czytałam (jeszcze)książki ale założę się że trochę to wszystko zostalo uproszczone, za mało magii jak na mój gust; mimo wszystko fllm robi wrażenie, trudno się po jego obejrzeniu wybudzić ze stanu swoistej hipnozy w którą wprowadza; swoją drogą ekranizacje powieści Kinga zazwyczaj są całkiem dobre no a ta należy ...",9
"Nie rozumiem wszechobecnego zachwytu nad tym filmem. Nie był zły, aktorstwo na poziomie, scenariusz i zdjęcia też, ale żeby pierwszy na liście? Film był niezły owszem, ale według mnie niczym nie różni się od innych amerykańskich produkcji. Chętnie usłyszałbym opinię kogoś, kto mógłby mi wytłumaczyć fenomen tego dzieła. Peace out ;)",9
"Niech każdy wpisze tu JEDEN film, który według Niego zasługuje na miano największego dzieło w historii kina. Przy setnym wpisie pozbieram wszystkie tytuły do kupy i zobaczymy co ztego wyjdzie.Na początek zacznijmy od mojego ulubionego filmu na którego forum jesteśmy;).1.Skazani na ShawshankPS. Proszę nie prowadził tu kłótni, ani nie dawać niepotrzebych ...",10
"Przepraszam ale uważam że to najlepszy film wszechczasów! Nie będę się rozpisywał dlaczego, bo to już nie raz było powiedziane. Ten film można oglądać w nieskończoność! ARCYDZIEŁO!!!",10
3 najlepsze filmy o więzieniu wg. was?Czekam na odpowiedzi...,10
"cześć! przeprowadzamy ankietę na temat top10 filmwebu. Serdecznie prosimy o wypełnienie, bardzo nam to pomoże! https://www.1ka.si/a/152186",8
"Chciałbym spytać jak duże widzicie podobieństwo pomiędzy tym filmem, a zrobionym 15 lat wcześniej Alcatraz'em ?",8
zawsze się go dobrze ogląda. Jeden z moich ulubionych,10
"Mam pytanie. Na końcu filmu pojawia się informacja, że film jest pamięci Allena Greena. Kto to był?",10
"Genialny film ze świetnymi rolami Morgana Freemana, Tima Robbinsona i Jamesa Whitmora. Do teraz nie mogę uwierzyć, że Oscara dostał ,,Forrest Gump''.",9
"Niedawno po raz kolejny sięgnęłam po ten film i znów boli mnie to, że nie został on odpowiednio doceniony. Miał wiele nominacji do prestiżowych nagród i żadnej prawie nie dostał. Nie wspominając już o Oskarach.",9
"Film jest świetny w każdym calu to nie podlega dyskusji. Jednak jego reżyser Frank Darabount który jest także twórcą filmu ""Zielona Mila"" jest według mnie najbardziej niedocenionym artysta XX wieku przecież to jest geniusz. Tworzy filmy z taką pasją i zaangażowaniem że hollywodzcy reżyserzy mogliby pobierać u niego korepetycje. Bo nie jest ...",10
Oglądałem tysiące filmów. Ale ten film żadnego nie pobije!! Rewelacja,10
"""Skazanym na Shawshank"" należy niewątpliwie oddać, że momentami są wręcz przykładem tego jak należy kręcić filmy. Pokrzepiająca, klasyczna historia, pochwała wytrwałości, przyjaźni i hartu ducha ze wspaniałym, przemyślanym scenariuszem i wybitną kreacją Morgena Freemana ma jednak smak słodko-słodki, jest filmem skrajnie pozytywnym, przez co nie wywołuje większych emocji i ciężko mi go kupić w stu ...",8
"Oglądam wiele filmów, jedne są gorsze, inne lepsze. Czasami trafi się jakaś bardzo dobra perełka - takich obejrzałem może z szesnaście w całym moim czterdziestoletnim życiu... Jednakże drugiego arcydzieła takiego jak ""Skazani na Shawshank"" już chyba nie dożyję, więc daję mu ocenę 10, jako jedyną w historii moich ocen na FW.",10
To chyba najlepszy film jaki widziałam w życiu. Jak dla mnie arcydzieło!! Polecam wszystkim lubiącym niebanalne filmy...,10
