title,rating,content
Wysoka dziewczyna (2019),7,"W swoim drugim pełnym metrażu Kantemir Balagov po raz kolejny bierze na warsztat kobietę, ba, tym razem nawet dwie. Pokazywana premierowo w prestiżowej sekcji Un Certain Regard na canneńskim festiwalu ""Wysoka dziewczyna"" opowiada historię Iyi (Viktoria Miroshnichenko), która po wojnie powraca do Leningradu z trzyletnim Pashką (Timofey Glazkov) i zatrudnia się jako siostra w szpitalu. Wkrótce w wyniku nieszczęśliwego wypadku dziecko umiera, a do miasta przyjeżdża frontowa przyjaciółka bohaterki, Masha (Vasilisa Perelygina), jak się dowiadujemy – matka chłopca.        Non-Stop Productions Cały obraz oparty jest na kontraście obydwu bohaterek. Iya jest nieśmiała, wrażliwa, z sercem otwartym dla innych. Masha przeciwnie – pewna siebie, dominująca, skupiona na sobie. Każda ich kolejna konfrontacja coraz bardziej oddala je od siebie i uwydatnia dzielące różnice. Łącząca je relacja zmienia swój charakter stopniowo, ale diametralnie – od solidarności w świetle śmierci dziecka po postępującą toksyczność, opartą na szantażu emocjonalnym. Podobnie jak w debiutanckiej ""Bliskości"", tak i teraz złote dziecko rosyjskiego kina kreuje specyficzną, niezwykle napiętą atmosferę prezentowanej historii, w której tragedia okazuje się być tylko wierzchołkiem potężnej góry lodowej. Twórca niezwykle misternie buduje wizerunek nie tylko obu kobiet, ale i całego świata przedstawionego, dając widzowi odpowiednio dużo czasu na zatopienie się w portretowanej rzeczywistości.  Rosyjski reżyser poświęca bowiem całkiem sporo uwagi (choć mimochodem) powojennym realiom, a szczególnie samym mieszkańcom miasta, którzy powoli wracają do normalności po trwającej przeszło dwa lata niemieckiej blokadzie. Podejmuje przy tym tematykę ""nowego początku"" symbolicznie łącząc powstający z kolan Leningrad z obiema kobietami próbującymi ułożyć sobie życie na nowo. Dość dodać, że o przeszłości zarówno Iyi jak i Mashy praktycznie nic nie wiemy, zupełnie jakby wojna ucięła ich przeszłość i wymazała wszelkie wspomnienia.  W osiąganiu takiego efektu twórca pomaga sobie nie tylko niespiesznie rozwijającą się fabułą, ale i odpowiednio skonstruowaną oprawą audiowizualną. Szczególną uwagę zwraca sam obraz, utrzymany w ciemnej tonacji, ale jednocześnie pełen kolorów, niejednokrotnie przypominający dzieło malarskie. Ważna jest tu też praca kamery, która leniwie zmienia perspektywy i często zatrzymuje się na twarzy postaci, niejako przedłużając poszczególne sceny. Klimatu dopełnia dość skąpa linia dialogowa – Balagov ponownie przekazuje widzowi więcej sugestywnym, milczącym spojrzeniem aniżeli słowem. To zaś, choć pojawia się nie tak często, niejednokrotnie potrafi wgnieść publikę w fotel (patrz: monolog Mashy w końcowej części filmu).  Mimo tak pieczołowitej konstrukcji, ""Wysoka dziewczyna"" nie prezentuje się ostatecznie jako film ze wszech miar głęboki. O wiele bardziej skąpy niż pierwszy okazuje się być bowiem drugi plan, który, choć obfitujący w pokaźną liczbę postaci, to znikomą bohaterów. Zarówno wątek nieumyślnie wplątanego w intrygę lekarza, jak i zakochanego w Mashy młodzieńca z bogatego domu, czy rannego żołnierza i jego żony pozostawiają po sobie pewien niedosyt i finalnie nieco rażą niewykorzystanym w pełni potencjałem. Być może reżyser celowo postawił ich tylko jako figury, wokół których lawirują Iya i jej przyjaciółka, ale niekiedy daje się odnieść wrażenie, że wielowarstwowości w budowaniu postaci starczyło mu tylko na dwie protagonistki.        Non-Stop Productions Nie zaciera to jednak ogólnie pozytywnych wrażeń ze spektaklu. Balagov nie tylko potwierdza nim, że nauka pod kątem Aleksandra Sokurowa nie poszła na marne, ale jednocześnie zarysowuje swój autorski styl i buduje nazwisko, stając się obok Zwiagincewa czy Sieriebriennikowa jednym z najbardziej rozpoznawalnych obecnie na świecie głosów ze Wschodu, szczególnie wśród canneńskiego splendoru. Wiele wskazuje na to, że kolejne dzieło tego obiecującego i młodego wciąż reżysera dostanie się wreszcie do głównego konkursu festiwalu, na co z pewnością sobie zasłużył."
Książę Persji: Piaski czasu (2010),8,"Nie musicie chować twarzy w dłoniach i lamentować nad marną jakością adaptacji elektronicznych hitów – filmowa wersja kultowej serii Prince of Persia przywraca wiarę w sens burzliwego związku kina i gier wideo. Pracując pod dwubiegunową presją, jej twórcy wyszli z konfrontacji z oryginałem obronną ręką. Utwór odchodzi od pierwowzoru na tyle, by autonomiczny scenariusz nie rozlazł się w szwach, a jednocześnie kokietuje fanów cyfrowej wersji i nie odbiera im frajdy z odkrywania wplecionych w fabułę cytatów.    Rzeczony rozdźwięk między dwoma typami odbiorcy jest jedną z głównych przyczyn, decydujących o fatalnym poziomie ekranizacji gier. Osobą, która umożliwiła dialog pomiędzy poróżnionymi grupami, został na planie Mike’a Newella Jordan Mechner – ojciec cyklu o Księciu Persji. Dzięki połączonym siłom Mechnera oraz tercetu scenarzystów, nostalgię, emocjonalny rdzeń filmu, udało się podwójnie zakodować. Bez względu na to, czy macie w mózgu gniazdo HDMI, czy słowo ""konsola"" kojarzy Wam się tylko z rokokowym salonem, za czymś podczas seansu zatęsknicie. Jeśli nie za renesansem serii, która największe triumfy święciła na poprzedniej generacji konsol, to za samoświadomym i profesjonalnie zrealizowanym Kinem Nowej Przygody, pełnym grubo kreślonych bohaterów, nagłych zwrotów akcji i sztubackiego humoru.  Tip-top, ot co. Książę jest przystojny i zawadiacki, księżniczka piękna i rezolutna, szach mądry i dumny, a zły wuj – śliski niczym wąż. Sceny akcji zrealizowane zostały z polotem, zaś skrzące się dowcipem dyskusje trwają dokładnie tyle, ile trzeba. Doświadczony Newell z gracją ominął wnyki i nie przeładował utworu scenami imitującymi mechanikę rozgrywki. Owszem, mamy tu cyfrowo podrasowane popisy akrobatyczne, dynamiczne gonitwy po dachach i filmowy ekwiwalent logicznych zagadek, ale wszystko podane jest z umiarem, a dosłowne cytaty zostały zgrabnie wszyte w literacką tkankę scenariusza (jak ""klasowe"" sprzeczki Taminy i Dastana, odwołujące się bezpośrednio do relacji między bohaterami przedostatniej jak dotąd odsłony gry). Zapewniam, że tytułowe piaski, pozwalające cofnąć czas i odwrócić bieg niefortunnych wydarzeń, nie będą Wam po seansie potrzebne.     Wydanie DVD z butów nie katapultuje, warto jednak sprawdzić materiał dokumentalny o produkcji dzieła. Wersja Blu-ray tradycyjnie dopieści najwybredniejszych widzów. Z uwagi na bogatą paletę kolorystyczną film prezentuje się wprost rewelacyjnie!    "
Pirania 3D (2010),8,"Choć są rejony, w których mięso piranii jada się na podwieczorek, ""łańcuch pokarmowy"" to dla filmowców pojęcie raczej z zakresu poezji niż biologii. W 1978 roku (""Pirania"") populację homo sapiens redukowały rybki zmodyfikowane na zlecenie amerykańskiej armii. Trzy lata później (""Pirania 2: Latający mordercy"") szalony naukowiec wyposażył te same rybki w miniaturowe skrzydełka (sic!). Piranie AD 2010 pochodzą z plejstocenu, kiedy to w obliczu braku konkurencji i generalnej nadpobudliwości żerowały nawet na sobie. Ławica miniaturowych kanibali jest wściekła i głodna, a za sprawą nagłych ruchów tektonicznych w jej menu lądują uczestnicy dzikiej  imprezy nad Jeziorem Wiktorii.     Szczegółowego, anatomicznego opisu piranii dokonuje Christopher Lloyd – pamiętny doktor Emmett Brown z ""Powrotu do przyszłości"". Podobnie jak Richard Dreyfuss ze ""Szczęk"", który pojawia się w scenie otwierającej film, stanowi on interpretacyjny drogowskaz. Jest trybikiem w precyzyjnym mechanizmie, który tylko popkultura może zbudować i częścią spiętrzenia, na które wyłącznie popkultura może sobie pozwolić – parodiuje bohatera w podobnym stopniu parodystycznego. I właśnie taka jest ""Pirania"". Pastisz pastiszu, szyderstwo z szyderstwa, ironizowanie na temat ironicznego. Udana? Bardzo dobra? Żeby tylko. Po prostu re-we-la-cy-jna!  Podczas seansu po głowie kołacze się zwrot, przeżywający obecnie renesans w języku potocznym: ""to się po prostu nie dzieje!"". Nie dzieje się w mainstreamowym, pruderyjnym, amerykańskim kinie, nie w zachowawczych komediohorrorach, nie wśród potworów z połamanymi zębami i stępionymi pazurami. Biuściaste gwiazdki porno i zapomniane przez świat aktorki, ikony kina klasy B i wiecznie niespełnione talenty, konkurs mokrego podkoszulka i krwawa rzeź iście biblijnych rozmiarów, dryfujące silikonowe implanty i cyfrowe penisy. Plus sardoniczny śmiech z upychanych bez umiaru w kinie popularnym wątków prorodzinnych i proekologicznych.  Wszystko w trzech wymiarach i w technikolorze. Doliczcie do tego świetne dialogi, w których pobrzmiewa echo ""wyrafinowanych inaczej"" narracji lat osiemdziesiątych (ponoć dzieci i ryby głosu nie mają, jednak każda linijka tekstu brzmi, jakby napisały ją same piranie, w dodatku podgryzane przez ludzi).    Film wyreżyserował Francuz Alexandre Aja. Miłośnicy kina grozy go kochają, gdyż po transferze z europejskiej mekki horroru do USA zaczął kręcić przeróbki respektujące klasę oryginału (""Wzgórza mają oczy"", ""Lustra""). Tylko tyle i aż tyle. Jego propozycja jest prosta: wóz albo przewóz. Albo szukasz czegoś ponad świetną zabawę, czegoś ponad ""bloody"" i ""sexy"", albo dajesz się pokąsać i przy akompaniamencie histerycznego śmiechu idziesz na dno. Bez paniki, to potrwa tylko chwilę.      "
The Living End (1992),6,"Seans ""The Living End"" to podróż do przeszłości. Film ma już swoje lata – został nakręcony w 1992 roku w zupełnie innych czasach i okolicznościach. Zrobił go młody (w branży filmowej, bo metrykalnie miał już ponad 30-tkę), zbuntowany, niezależny Gregg Araki, który miał już na koncie dwa filmy, lecz dopiero tym obrazem zaistniał i przetarł sobie szlaki ku większym produkcjom.  Araki opowiada historię dwóch młodych, przystojnych mężczyzn, których życie praktycznie dobiegło końca. Są bowiem seropozytywni. W 1992 roku osoba, która dowiadywała się, że jest nosicielem HIV, wiedziała, że jej dni są policzone. Leków w zasadzie nie było, a te, które były, tylko truły człowieka trzymającego się nadziei, że chorobę zabiją wcześniej niż resztę organizmu. ""The Living End"" wydawał się głosem sprzeciwu, buntu przeciwko sytuacji, która z młodych ludzi czyniła żywe trupy, buntu przeciw systemowi, który spychał AIDS do rangi ""czarnej dżumy gejów"", wreszcie bunt przeciwko kinu, które zarzucało widzów sentymentalnymi historyjkami o gejach-samobójcach i eutanazji chorych na AIDS.  Z perspektywy czasu film jest całkiem interesującym obrazem przełomu lat 80. i 90. To portret ludzi, którzy przegrali wszystko. Nie mając nic do stracenia, desperacko trzymają się życia, choć ostentacyjnie plują mu w twarz. To obraz pokolenia straceńców dorastających pod rządami Republikanów, pozbawionych nadziei – męska wersja ""Thelmy i Louise"". A jednak zakończenie sugeruje, że powoli nadzieja zaczyna kiełkować. Araki najwyraźniej liczył na to, co w 1992 roku rzeczywiście się wydarzyło: Bush przegrał walkę o reelekcję. Zaczęła się ""złota era"" Ameryki pod wodzą Billa Clintona.  ""The Living End"" to kwintesencja kina niezależnego. W cieniu Godarda, Warhola i Jarmana, Araki bryka, eksperymentując z fabułą i obrazem. Jest nieco pretensjonalny w swoim artystycznym zadęciu, ale jednocześnie widać w nim żywiołowość i rzeczywistą filmową pasję. Ubarwia fabułę, wrzucając elementy zaczerpnięte z różnych bajek i tworzy z tego pstrokatą całość na swój sposób całkiem interesującą.  Na DVD zaprezentowano nową wersję filmu przygotowaną przez Arakiego w 2008 roku. Wersja z taśmy 16mm została zdigitalizowana, przy okazji poprawiono dźwięk i obraz."
The Social Network (2010),8,"Kiedy byliśmy dziećmi, wpajano nam, że tylko człowiek charakteryzujący się cnotami kardynalnymi może być człowiekiem prawdziwie wielkim. Fortitudo, Iustitia, Prudentia i Temperantia – oto wyznaczniki wzorca do naśladowania. Kiedy dorastamy, zaczynamy dostrzegać, jak niewiele cnoty mają wspólnego z rzeczywistością, że losy świata zmieniali ludzie pełni wad i sprzeczności. Jednym z takich gigantów jest zdaniem Davida Finchera Mark Zuckerberg, założyciel Facebooka. Tak przynajmniej wynika z filmu ""The Social Network"".  Fincher zbudował ""The Social Network"" wokół dwóch spraw sądowych wytoczonych Zuckerbergowi. Pierwsza dotyczyła oskarżeń o kradzież pomysłu na samą stronę, jakiej miał się dopuścić twórca Facebooka. Drugą wytoczył były przyjaciel i biznesowy partner Zuckerberga, który został wyeliminowany z grupy właścicieli praw do strony. Dzięki tym dwóm wątkom poznajemy genezę powstania Facebooka, od  strony do oceny atrakcyjności studentek Harvardu, przez pierwszą skromną sieć uczelnianą po globalnego giganta. Jednocześnie przyglądamy się jej twórcy Zuckerbergowi, który w tej historii gra wszystkie role. Jest bogiem-stwórcą, który powołał Facebook do życia, jest szatanem – przeciwnikiem i oszustem, personifikacją wcielonego zła, jest wreszcie szarym człowieczkiem, ze swoimi przyziemnymi pragnieniami.  Mark Zuckerberg ma powody do niezadowolenia. David Fincher nie łagodzi jego portretu. Na ekranie widzimy młodego człowieka pełnego kompleksów. Oglądanie swych przywar musi boleć. Jednak Zuckerberg powinien też się cieszyć, ponieważ Fincher ostatecznie potwierdził jego pretensje do wielkości. Twórca ""Siedem"" i ""Podziemnego kręgu"" postawił go bowiem w jednym rzędzie z Aleksandrem, Cezarem, Napoleonem, Hearstem. Tak jak oni, na szczyt dotarł nie ze względu na swoją cnotliwość, a z powodu swych kompleksów. Będąc piekielnie inteligentny, jest jednak społecznym kaleką. To separuje go od świata ""ludzi normalnych"". A właśnie bycia w tym świecie, przynależności pragnie najbardziej, nawet jeśli zarazem czuje do niego pogardę. To właśnie ta potrzeba bycia zaakceptowanym (przez rodzinę, przyjaciół, rówieśników, społeczeństwo) pchała Aleksandra, Cezara i resztę do działania. I to właśnie akceptacja jest podstawowym tematem ""The Social Network"" (jak i kluczowym elementem samego Facebooka).  Nie posunąłbym się tak daleko, by ""The Social Network"" nazywać najlepszym filmem Finchera. Z całą pewnością jednak jest to dzieło wyróżniające się w jego reżyserskim dorobku. Na bardzo prostych scenach buduje monumentalną biografię ze skomplikowanymi portretami osobowościowymi. I nie chodzi tu tylko o Zuckerberga, ale także o jego wspólnika Eduardo Saverina, który okazuje się zbyt miękki, by odnieść sukces, nie ma w nim jątrzącej się rany, która nie dawałaby mu spokoju. Fincher znakomicie pokazał też Seana Parkera, twórcę Napstera. To pionier, który stanął do walki z gigantami. Sukces, który osiągnął, przerósł go i zmiażdżył. W ""The Social Network"" jawi się jako mężczyzna czarujący, ale nie da się ukryć, że jest wrakiem człowieka.  Solidny scenariusz Sorkina, wyważenie poszczególnych wątków oraz dobra, jak zawsze u Finchera, gra aktorów sprawiają, że ""The Social Network"" to pełnowartościowy dramat o ludzkich namiętnościach. Film z pewnością okaże się satysfakcjonującą rozrywką dla tych, którzy od kina oczekują czegoś więcej niż tylko zwykłej stymulacji bodźcami wizualnymi."
Żółwik Sammy: W 50 lat dookoła świata (2010),7,"Żółw Sammy powinien stać się wkrótce idolem wszystkich monogamistów. Poczciwy gad poświęca kilkadziesiąt lat na poszukiwania samicy, w której zakochał się od pierwszego wejrzenia. Wszystko po to, by móc jej zrobić dużo małych żółwików i spędzić z nią resztę życia.  Wybranka Sammy'ego ma na imię Karola. Bohater poznał ją tuż po swoim urodzeniu – porwany przez ptaka zdołał wydostać się z jego dzioba, a przy okazji uratować przyszłą partnerkę. Zły los sprawił jednak, że Sammy i Karola nie podróżowali dalej razem. Żółw nie poddawał się. Płynął przez kolejne oceany, poznawał nowych przyjaciół i stawiał czoła niebezpieczeństwom. W głębi serca czuł bowiem, że ta jedyna musi być niedaleko.  Film o przygodach Sammy'ego to propozycja skierowana do najmłodszej publiczności. Próżno szukać tu wymyślnego humoru, cytatów z klasyki kina lub podnoszących ciśnienie sekwencji akcji. Fabuła dryfuje niczym  tratwa, uderzając od czasu do czasu o nowe postaci, które Sammy spotyka na swojej drodze. Są to zarówno morskie stworzenia (inne żółwie, rekiny, kałamarnice), jak i ludzie. Nasz gatunek nie wypada najkorzystniej w filmie – twórcy przypominają o olbrzymich zniszczeniach przyrody, jakich dokonała na przestrzeni ostatnich dekad ręka homo sapiens. W jednej ze scen widzimy na przykład uszkodzony tankowiec, z którego wycieka ropa. Skutki katastrofy są przerażające. Podwodny świat, który jeszcze przed chwilą przypominał magiczne królestwo, zamienia się w szarobury cmentarz. To tak, jakby krainę Małej Syrenki odwiedził Megatron z resztą  złych Transformerów i przerobił wszystko dookoła na paprykarz szczeciński. Horror!  Na szczęście, twórcy ""Żółwika"" nie popadają zbyt często w apokaliptyczne tony, pozwalając nacieszyć się oczom widza. Trzeba przyznać, że osoby odpowiedzialne za animację zasłużyły na złoty trójząb Neptuna. Szczegółowość i precyzja, z jakimi odtworzono tajemnice oceanu, potrafią zachwycić. Zwłaszcza, że 3D w filmie jest naprawdę dopracowane. Nic dziwnego, za reżyserię odpowiada Ben Stassen, twórca takich obrazów, jak ""Wyprawa na Księżyc"" czy ""Dzikie safari"". Belg praktycznie od początku kręci wyłącznie w trzech wymiarach, w związku z czym zdołał tę technologię opanować do perfekcji.  Ekologiczne przesłanie, sympatyczni bohaterowie i piękne krajobrazy – czego chcieć więcej? Zarówno milusińscy, jak i ich rodzice powinni wyjść z seansu zadowoleni. W końcu byle jaki film nie mógłby otrzymać nominacji do nagrody Europejskiej Akademii Filmowej."
Miloš Forman: Co cię nie zabije (2009),7,"Trzeba mocno trzymać się swojego marzenia – powiada w filmie ""Co cię nie zabije"" Milos Forman. Czeski reżyser wie, o czym mówi. Po nakręceniu w Stanach Zjednoczonych ""Odlotu"" prawie rok spędził zamknięty w hotelu, zastanawiając się, co dalej ma robić. Hollywood go nie rozumiało, a  ojczyzna wyklęła. Będąc na skraju załamania nerwowego, bez grosza przy duszy, odebrał pewnego dnia telefon od Michaela Douglasa. Popularny aktor zaproponował mu zrealizowanie ""Lotu nad kukułczym gniazdem"". Ciąg dalszy wszyscy znają dobrze: worek Oscarów (w tym dla najlepszego filmu), szybujące w górę gaże oraz kolejne znaczące tytuły w reżyserskim CV.  W dokumencie Milosa Smidmajera twórca ""Amadeusza"" prezentuje się jako człowiek spełniony. Z młodszą o kilkadziesiąt lat żoną ma dwójkę uroczych bliźniaków, mieszka w rezydencji i planuje realizację kolejnego projektu z plejadą gwiazd w obsadzie. Czasem tylko ponarzeka, że jego dzieci nie znają słowa po czesku, w związku z czym musi z nimi rozmawiać w języku angielskim.  Smidmajer towarzyszy Formanowi m.in. podczas rodzinnego spotkania przy stole oraz w trakcie pogaduszek ze starymi przyjaciółmi z branży. Dinozaury kina wspominają złe recenzje swoich filmów, rzucając przy okazji parę niewybrednych epitetów pod adresem ich autorów. Nie wszystkie dzieła Formana spotkały się z jednakowym uznaniem. Najbardziej szkoda mu chyba ""Valmonta"", który trafił na ekrany zaledwie parę miesięcy po premierze ""Niebezpiecznych związków"", opartych na tej samej powieści Choderlosa de Laclosa. W mrocznym dramacie Stephena Frearsa wicehrabia Valmont był cynicznym uwodzicielem, u Formana – dużym dzieckiem traktującym miłosne podchody jako zabawę. Wizja Czecha trafiła do piachu z powodu fatalnych ocen krytyków oraz słabych wyników box-office'u. Reżyser patrzy na swoje porażki ze zbawiennym dystansem. Przeżył wystarczająco dużo i oberwał po głowie zbyt wiele razy, by teraz  niepotrzebnie się denerwować.  Sporządzony przez Smidmajera portret artysty jest barwny, ale zbytnio wygładzony. Jedynie w scenie, gdy Forman przygotowuje przedstawienie w madryckiej operze, na wierzch wychodzą jego mniej sympatyczne cechy osobowości:  skłonność do irytacji oraz wyżywania się na podwładnych.     Twórca, którego jednym z głównych tematów filmów była wolność, na planie żąda absolutnego posłuszeństwa. Znajomi Formana twierdzą jednak, że można mu wybaczyć dyktatorskie zapędy. F. Murray Abraham, nagrodzony Oscarem za rolę Salierego w Formanowskiej biografii Mozarta, stwierdza: Widzicie ten wygodny i przytulny apartament, w którym sobie teraz rozmawiamy? Pytacie, jak mogłem sobie na niego pozwolić? To ""Amadeusz""."
"Jedz, módl się, kochaj (2010)",7,"Na wstępie powinienem zaznaczyć, że książki Elizabeth Gilbert nie czytałem. Znam ją tylko ze słyszenia. Wiem, że wszędzie, gdzie była wydana, stawała się bestsellerem, a wiele kobiet traktuje ją niemal jak Biblię. Sama Gilbert twierdzi, że popularność jej książki wynika z faktu, iż werbalizuje problemy i potrzeby czytelniczek oraz pomaga im odnaleźć odpowiedzi na nurtujące je pytania. Czy film ma podobną moc? Wątpię. Ryan Murphy nakręcił obraz bez ambicji zmieniania świata. Kinowe ""Jedz, módl się, kochaj"" to przyjemny filmik, chwilami wzruszający, chwilami zabawny, z sympatycznymi bohaterami i gwiazdami w obsadzie. Słowem: ekskluzywna rozrywka na każdą kieszeń.  Julia Roberts gra tu Liz Gilbert, kobietę mającą niezłą pracę, dzięki której dużo podróżuje, przystojnego i kochającego męża i życie, które z niewiadomych przyczyn uwiera ją. Stopniowo dochodzi do wniosku, że małżeństwo nie było dobrym pomysłem, a rozwód jest bolesny, gdyż złamała mężowi serce. Kolejny związek, z utalentowanym młodym aktorem również prowadzi w ślepy zaułek. Sfrustrowana Liz postanawia zaryzykować, rzucić wszystko i wyruszyć w roczną podróż, by odnaleźć siebie. Przystanki zaplanowała we Włoszech, Indiach i na Bali.  ""Jedz, módl się, kochaj"" ogląda się jak baśń terapeutyczną. Chwilami trudno uwierzyć, że to, co widzimy na ekranie, wydarzyło się naprawdę. Na każdym etapie podróży bohaterkę spotyka życzliwość, przyjaźń dobrych ludzi, piękno i harmonia. Jest to tak odległe od tego, co widzimy na co dzień, czy to w wiadomościach, czy na własne oczy, że wierzy się w to tak samo jak w opowieści o jednorożcach i świętym Mikołaju. To wyjaśnia, skąd wziąłem określenie ""baśń"". A ""terapeutyczna""? To proste: ""Jedz, módl się, kochaj"" jest niczym więcej jak filmowym przedstawieniem piramidy potrzeb Abrahama Maslowa. ""Jedz"" symbolizuje potrzeby fizjologiczne, aczkolwiek tu rozumiane są nieco szerzej niż po prostu konieczność dostarczenia niezbędnych do życia składników. ""Módl się"" symbolizuje potrzebę bezpieczeństwa, zaś ""kochaj"" potrzebę miłości.  Całość może razić naiwnością, jednak w tym przypadku naiwność nie jest wcale niczym złym. Baśń musi być przyjemna w oglądaniu i musi krzepić, a te dwa warunki obraz Murphy'ego spełnia. Z trzech epizodów najlepiej prezentuje się pierwszy, choć Włosi ponoć patrzyli nań krzywo. Przedstawiona w nim na poły mityczna Italia z jej pełnymi ekspresji i dobrego serca mieszkańcami przynosi rozkosz, która równać się może tylko spożywaniu pizzy w Neapolu. W epizodzie indyjskim uwagę zwraca przede wszystkim Richard Jenkins jako człowiek prześladowany przez demony z przeszłości. Wątek na Bali z kolei zaskakuje sentymentalnym Javierem Bardemem i ckliwym portretem ojcostwa. To w zupełności wystarcza, by wyjść z kina usatysfakcjonowanym. "
Była sobie dziewczyna (2009),6,"David (Peter Sarsgaard) jest zbyt piękny, by mógł być prawdziwy. Mimo to dziewczyna może marzyć, prawda? I Jenny wkracza w ten świat ze snu, pełen luksusu i swobody z radością i ignorancją typową dla żywej, inteligentnej i spragnionej wrażeń 16-latki. Niestety, w pewnym momencie popełnia błąd i zapomina, że to wszystko jest snem. Ignoruje niepokojące sygnały sugerujące kłamstwo i manipulację i przekonuje siebie samą, że to jest jej życie. Jednak w prawdziwym świecie drogi na skróty nie wychodzą na dobre i Jenny mocno się sparzy, niemal przekreślając swoje szanse na realizację wszystkich planów i ambicji.  Twórcy filmu ""Była sobie dziewczyna"" dalecy są od potępiania postępowania Jenny, czy wygłaszania kazań z ambony o konieczności dobrego prowadzenia się. Wręcz przeciwnie, z filmu jasno wynika, że mimo wszystkich błędów, mimo całego zagrożenia zrujnowania sobie życia, Jenny dobrze zrobiła. Rozpostarła bowiem skrzydła, wyrwała się z klatki sztywnych społecznych konwenansów i wszystkie nabyte doświadczenia prędzej czy później zaprocentują, choćby ze względu na fakt, że teraz będzie potrafiła docenić konieczność mozolnej nauki. Oczywiście, droga, jaką wybrała Jenny, nie jest dla każdego. Mogą na nią wstąpić tylko osoby wystarczająco inteligentne i samoświadome, by nie zatracić się całkowicie. Jenny ma dostatecznie silny charakter, by podnieść się po ciosie i zbudować sobie życie na trwałych podstawach.  Niestety, sam film przypomina nie Jenny, a raczej Davida. Na początku jest uroczy, zabawny i niezwykle przyjemny w oglądaniu. Z czasem jednak traci tempo i zaczyna się rozłazić na wszystkie strony. Całość sprawia wrażenie, jakby twórcy największą frajdę czerpali z opowiadania o uwodzeniu urokami świata, a moralizatorska część została zrealizowana z przymusu. Giną gdzieś interesujące portrety psychologiczne (wyjątek stanowi postać zagrana przez Sally Hawkins), zapomnieć można o iskrzących się od inteligencji i dowcipu dialogów. Na szczęście pierwsza połowa jest naprawdę znakomita - dla Sarsgaarda, Carey Mulligan, Alfreda Moliny i Rosamund Pike warto dać ""Dziewczynie"" szansę.  Wydanie DVD przeznaczone jest w zasadzie wyłącznie dla fanów filmu i jego aktorów. Na płycie nie znajdziemy bowiem ani jednego dodatku. W ich miejsce otrzymujemy krótkie notki wewnątrz opakowania/okładki wydania. Do wyboru mamy wersję oryginalną lub z polskim lektorem, niestety obie są zgrane w DD 2.0.  "
Wall Street: Pieniądz nie śpi (2010),6,"Gdy w 1987 roku na ekrany kin trafił pierwszy ""Wall Street"", reżyser Oliver Stone był niepocieszony. Postać Gordona Gekka (oscarowa rola Michaela Douglasa) – cynicznego i drapieżnego kapitalisty lubującego się w gospodarczych szwindlach – zamiast stanowić przestrogę dla maklerów, okazała się  dla nich wzorem. Gekko był królem świata – ubierał się u najlepszych projektantów, skupował dzieła sztuki i korzystał z telefonu komórkowego (wówczas szczyt nowoczesności). Jakże mógł się z nim równać jego ekranowy antagonista – nieefektowny robotnik głoszący hasła o sprawiedliwości społecznej?  Spotkany po latach dawny rekin finansjery nie robi już jednak takiego wrażenia. W wymiętej marynarce i z zestawem zmarszczek na twarzy przypomina urzędnika bankowego udającego, że jest na wakacjach. Lata spędzone w więzieniu zmieniły ponoć jego spojrzenie na giełdę. Napisał nawet na ten temat książkę pod znamiennym tytułem ""Czy chciwość jest dobra?"". W trakcie spotkania z czytelnikami Gekko poznaje swojego przyszłego zięcia, Jake'a (Shia LaBeouf) – zdolnego gracza z Wall Street, który pragnie zemścić się na miliarderze (Josh Brolin) odpowiedzialnym za śmierć jego mentora. Panowie zawierają układ – Gekko dostarczy chłopakowi informacji na temat podłego finansisty, a ten w zamian umożliwi mu pojednania się z dawno niewidzianą córką (Carey Mulligan).  Relacja między bohaterami przypomina związek Hannibala Lectera i Clarice Starling z ""Milczenia owiec"". Gekko jest tutaj jednocześnie nauczycielem, informatorem i diabłem kuszącym od niechcenia młodego wilka biznesu. Do końca nie wiadomo, czy za maską uczynności i wzruszających wyznań nie kryje się ten sam drań, który dwie dekady wcześniej bez mrugnięcia okiem pozbawiał pracy tysiące ludzi. Douglas wyraźnie bawi się rolą – gra Gekko w tonacji półserio z łobuzerskim błyskiem w oku. LaBeouf i Mulligan są dla niego godnymi partnerami w aktorskim Tour De Force.  Obsadowa hossa nie idzie jednak w parze ze scenariuszem, który nie jest aż tak drapieżny jak w jedynce. Stone nie wywiązał się z obietnic składanych w wywiadach – geneza aktualnego kryzysu ekonomicznego została przedstawiona w filmie w sposób mętny. Zamiast zagłębiać się w meandry pękających baniek finansowych, reżyser powtarza tylko, że chciwość to choroba psychiczna ogarniająca cały świat. A kiedy dokłada do tego standardowe ględzenie o moralności i etyce biznesowej, ""Pieniądz nie śpi"" zamienia się w akademicki wykład.  Mimo wszystko, nawet jeśli dwójka nie przynosi takiej satysfakcji jak oryginał, i tak stanowi fascynujący obrazek giełdy i jej pracowników. Wraz z operatorem Rodrigiem Prieto Stone w efektowny sposób oddaje nerwowość i napięcie panujące w świątyni mamony. Mając do pomocy Douglasa jako pierwszego kapłana, reżyser bez problemu uwodzi widza swoją wizją. "
